wind_direction,fractional_occur,wind_speed
0,0.056981201,0
10,0.02195469,4.523772592
20,0.015527808,4.446347477
30,0.021162807,4.139265525
40,0.018775679,4.029706516
50,0.022264558,3.673766586
60,0.018132991,3.454589139
70,0.02369913,3.457860881
80,0.022539996,3.915432236
90,0.025064843,4.01261609
100,0.017008286,3.851734564
110,0.017972318,3.587310651
120,0.015757339,3.581249637
130,0.018144467,3.592973212
140,0.013817798,3.507533884
150,0.020428306,3.756019227
160,0.018477288,4.119066835
170,0.025191085,4.360469531
180,0.020910322,4.724866024
190,0.033764087,5.209313801
200,0.032340992,5.167442109
210,0.05162164,5.333953941
220,0.04364542,5.211806056
230,0.049085317,5.441535319
240,0.044988179,5.714396707
250,0.053859573,5.478779271
260,0.040317213,4.955678737
270,0.041281245,4.81449218
280,0.028714394,4.603883135
290,0.027635596,4.643455291
300,0.018683866,4.3342223
310,0.021197236,4.020851968
320,0.018534671,4.101217647
330,0.024077857,4.225159468
340,0.016663989,4.195269562
350,0.021380862,4.150345314
360,0.018396952,4.218248245
