wind_direction,fractional_occur,wind_speed
0,0.002974454,0
10,0.006978527,2.353792138
20,0.00715013,2.299770458
30,0.01486083,2.573408092
40,0.029298372,2.935404206
50,0.036059535,3.307652952
60,0.034801112,3.746038476
70,0.02590063,2.869206885
80,0.027227694,2.523153282
90,0.031860979,2.517727727
100,0.0319525,2.871161143
110,0.030797039,3.058763248
120,0.025580305,2.804824152
130,0.026609923,3.165843257
140,0.027582341,3.744708503
150,0.026907369,3.955225702
160,0.026632804,4.550442804
170,0.02534006,5.03551258
180,0.030671197,6.336622235
190,0.038336136,7.387667612
200,0.028680601,7.045235681
210,0.023063459,7.445147889
220,0.036768828,8.181004133
230,0.050622919,7.198611986
240,0.065643912,6.431715523
250,0.063287229,6.1958326
260,0.037214996,5.126411529
270,0.033428287,5.128594702
280,0.018750501,4.431312015
290,0.021404629,4.715782493
300,0.026564162,4.658576222
310,0.024161719,4.075604644
320,0.022754573,3.814231105
330,0.014826509,3.343489052
340,0.009529693,2.622243966
350,0.008374232,2.376843727
360,0.007401814,2.424327289
