wind_direction,fractional_occur,wind_speed
0,0.001552885,0
10,0.028403889,6.758295535
20,0.026596053,6.939950431
30,0.018344903,6.381315467
40,0.013037281,5.497920188
50,0.01499577,5.320559546
60,0.014161384,4.872483516
70,0.01366307,4.394372794
80,0.009259367,4.427180155
90,0.009247778,4.721538667
100,0.008413392,4.960912457
110,0.01233037,6.201371
120,0.019399474,7.992320853
130,0.030918636,8.366849343
140,0.036249435,8.549342216
150,0.04330695,8.543322087
160,0.034881969,8.226318474
170,0.037593724,7.829729843
180,0.039691277,8.094870217
190,0.043051998,8.130569318
200,0.032807593,7.199126792
210,0.034082349,6.839428902
220,0.035507759,7.134384611
230,0.043770498,7.289523017
240,0.040027349,7.573825085
250,0.040421365,7.365044606
260,0.037663256,7.486189088
270,0.039459503,7.514810607
280,0.034812437,7.664427836
290,0.034824026,7.623358176
300,0.028809493,7.211942013
310,0.025865965,6.797944147
320,0.022910848,6.53164332
330,0.022748606,6.431729316
340,0.021068246,6.487427472
350,0.024834571,6.68105038
360,0.02528653,6.851865962
