wind_direction,fractional_occur,wind_speed
0,0.010361509,0
10,0.025892336,3.731536823
20,0.022369881,3.947752781
30,0.020299866,3.907455779
40,0.014192752,3.71220469
50,0.009458022,3.312471947
60,0.007342261,3.140352081
70,0.006541703,2.971543664
80,0.005981313,2.771899029
90,0.006095678,2.679355617
100,0.006598886,2.913696693
110,0.009801118,2.955201648
120,0.01274031,3.019703156
130,0.022015348,3.078646691
140,0.032468349,3.344701427
150,0.071364037,4.08842827
160,0.06198607,3.937774581
170,0.044236553,3.742221
180,0.032971557,4.059700119
190,0.034378252,4.569412774
200,0.031393314,4.682283751
210,0.030364025,4.724359174
220,0.029746452,4.839650225
230,0.034767095,5.2960656
240,0.035007262,5.608632855
250,0.041240179,5.944781331
260,0.047633207,5.802656585
270,0.048685369,5.330543773
280,0.037157333,4.502849637
290,0.030821487,4.329156021
300,0.023822322,4.058007376
310,0.020906003,3.688068173
320,0.023788012,3.634744723
330,0.02740196,3.831491311
340,0.027836549,3.723272598
350,0.028476995,3.471773886
360,0.023856631,3.623550188
