wind_direction,fractional_occur,wind_speed
0,0.002745367,0
10,0.019663693,4.017391656
20,0.018565546,3.922199665
30,0.019755205,4.022910376
40,0.023129719,4.370738613
50,0.031548845,4.393851655
60,0.035929993,4.554491803
70,0.030439259,4.093319358
80,0.016334935,3.503118667
90,0.011702128,3.126391347
100,0.01050103,3.049117434
110,0.009849005,3.081286537
120,0.007721345,3.253572498
130,0.009700297,3.935981925
140,0.012113933,5.498089889
150,0.017719057,7.184946092
160,0.027728209,8.425718335
170,0.042850606,8.650789228
180,0.049828415,8.576192468
190,0.060867078,9.20759045
200,0.059768932,8.786112771
210,0.063955617,8.455431396
220,0.051555708,7.69885364
230,0.046064974,7.748341677
240,0.035415237,7.673955831
250,0.027579501,6.882368818
260,0.029661405,6.647100569
270,0.033562114,6.922199958
280,0.029764356,6.461986048
290,0.02889499,5.487199007
300,0.02052162,5.189174261
310,0.016598032,5.094094688
320,0.019526424,5.312304855
330,0.021493937,5.229587464
340,0.020144132,4.702444672
350,0.018325326,4.374700757
360,0.018474033,4.135938635
