wind_direction,fractional_occur,wind_speed
0,0.001134076,0
10,0.017418894,5.380775649
20,0.017750198,4.729339457
30,0.020579016,4.053755012
40,0.023089273,4.371070543
50,0.037182395,5.045182984
60,0.046395168,4.490399551
70,0.042840032,4.491974439
80,0.027510895,4.250656098
90,0.017903107,3.967992618
100,0.011926909,3.355977632
110,0.010041031,3.453564416
120,0.011710288,3.549047835
130,0.013723591,3.925919439
140,0.017189531,4.230338986
150,0.019164607,4.223639968
160,0.018285379,4.0567584
170,0.016909197,4.588902508
180,0.020821122,5.488871907
190,0.023038304,5.358127746
200,0.029180152,5.559589569
210,0.040380744,5.542001804
220,0.059494381,5.723451184
230,0.053671093,5.406058957
240,0.03799791,5.926629502
250,0.046522592,7.401032895
260,0.086177018,8.607637757
270,0.072975866,8.106512796
280,0.042929229,7.266197014
290,0.027803971,6.520848832
300,0.019572364,5.755007326
310,0.013749076,5.094378258
320,0.011761258,4.993395229
330,0.011570122,5.208462216
340,0.010270394,5.089548953
350,0.010079258,4.864129805
360,0.011251561,4.83449186
