wind_direction,fractional_occur,wind_speed
0,0.00284279,0
10,0.02447768,6.747038636
20,0.016542984,6.78079086
30,0.02026487,7.36567877
40,0.024706017,6.953789946
50,0.020047951,6.096571549
60,0.0152643,6.176021424
70,0.015150131,6.437721977
80,0.011610914,6.290178112
90,0.011108574,6.466767281
100,0.012581345,6.948728621
110,0.013403357,6.911690981
120,0.017033908,8.391436748
130,0.02213723,8.256308838
140,0.024957187,7.806558265
150,0.033668227,7.495810185
160,0.036168512,7.774632383
170,0.039502226,7.955891328
180,0.038303459,7.806208523
190,0.037458614,7.67103269
200,0.033668227,7.711077698
210,0.031430529,7.805421678
220,0.035392168,8.954312694
230,0.042516269,9.434052
240,0.042961525,9.434161986
250,0.049948624,9.451541549
260,0.044411462,9.272820038
270,0.03743578,8.454986765
280,0.033679644,8.162046433
290,0.034022149,7.468414875
300,0.027514556,6.488398267
310,0.022982076,6.14036065
320,0.02163489,5.690646506
330,0.023427332,5.388876111
340,0.026441375,5.828144073
350,0.028656239,6.04748393
360,0.026646877,6.331143726
