wind_direction,fractional_occur,wind_speed
0,0.00575312,0
10,0.007391957,2.226066983
20,0.007667007,2.769077495
30,0.009844482,2.818961476
40,0.01121973,2.858080609
50,0.017706316,3.325072999
60,0.019081564,3.22632087
70,0.022405079,3.010352614
80,0.02559107,3.619538596
90,0.025900501,4.082545637
100,0.024846144,4.753861207
110,0.023264609,4.754425559
120,0.024204362,4.509179606
130,0.030851393,4.847851186
140,0.026817333,4.759266544
150,0.028570774,5.107502384
160,0.034610404,5.184641584
170,0.042472237,4.769642698
180,0.050013179,4.836174404
190,0.040409365,4.249780157
200,0.04139496,4.37120731
210,0.055835062,4.92501992
220,0.056282017,4.871452612
230,0.047079317,4.614592735
240,0.043732881,4.580924298
250,0.042712906,4.706879635
260,0.030175229,4.473884813
270,0.024949288,4.126422199
280,0.021877901,3.942813077
290,0.021419485,3.673498996
300,0.01868045,3.264036717
310,0.020548495,3.045347806
320,0.023046862,3.441991059
330,0.026714189,3.458317237
340,0.022955178,3.071253795
350,0.0143828,2.458673396
360,0.009592354,2.16779449
