wind_direction,fractional_occur,wind_speed
0,0.003218539,0
10,0.015471976,4.683122089
20,0.016115683,4.424878884
30,0.017000782,4.419905279
40,0.012839671,4.537423714
50,0.009828038,4.584267644
60,0.011483287,4.999221574
70,0.011575245,4.774060755
80,0.011264886,4.713986857
90,0.013287967,4.785753266
100,0.013310957,4.810806629
110,0.014483425,5.1334162
120,0.017472068,5.3684939
130,0.021219366,5.360417302
140,0.030070348,5.052013135
150,0.040105292,5.020731626
160,0.04154214,5.082376474
170,0.038519012,4.636290301
180,0.03603614,4.322806473
190,0.035806244,4.207375712
200,0.034806198,4.625408818
210,0.035564854,5.095722452
220,0.041346729,5.662030446
230,0.054772633,6.074973649
240,0.060680951,6.009902619
250,0.064336291,5.685171473
260,0.053531197,5.675343557
270,0.044496299,5.653435226
280,0.034840682,5.534643483
290,0.030725551,5.217767035
300,0.022633225,4.768731279
310,0.02000092,4.234406303
320,0.018702009,4.248036349
330,0.020437721,4.762223732
340,0.021713642,4.82144869
350,0.016943308,4.673622526
360,0.013816727,4.421564862
