wind_direction,fractional_occur,wind_speed
0,0.00468705,0
10,0.013934473,3.345161481
20,0.012310704,3.385031895
30,0.015765532,3.546243994
40,0.015719468,3.280004492
50,0.020176196,3.614615091
60,0.020890194,3.466966869
70,0.031335291,3.593167299
80,0.043715092,3.916469219
90,0.045292797,3.873568425
100,0.026256694,3.8265157
110,0.016456498,3.793349495
120,0.010951805,4.156664244
130,0.009569874,4.365654739
140,0.009938389,4.778427699
150,0.013588991,5.313596163
160,0.013301088,5.125287539
170,0.012345252,5.461648474
180,0.022502447,7.38308756
190,0.028893879,7.897299762
200,0.047423274,7.489170315
210,0.047688144,6.084005316
220,0.04811424,6.700947086
230,0.04743479,7.19871893
240,0.049139172,6.496679021
250,0.048022111,6.608939934
260,0.046329245,6.32370984
270,0.039546266,5.417841369
280,0.034294927,4.964090928
290,0.031461968,4.558440832
300,0.02727011,4.234169578
310,0.024966891,4.177010024
320,0.025577244,4.343241533
330,0.030805551,4.466527813
340,0.026383371,4.134638748
350,0.021546611,3.86836592
360,0.016364369,3.595677557
