wind_direction,fractional_occur,wind_speed
0,0.001471163,0
10,0.021676666,3.148855533
20,0.025963727,3.093723656
30,0.029825529,3.128890039
40,0.033698825,3.332130288
50,0.025906259,3.312617665
60,0.023917891,3.463164823
70,0.015240328,3.475406751
80,0.015366756,3.676523874
90,0.020665241,3.820276022
100,0.01507942,3.705016277
110,0.010309634,3.488125315
120,0.012033653,3.642381444
130,0.013815139,3.747480586
140,0.016401168,3.765499355
150,0.016516102,3.938700688
160,0.014688642,4.322054169
170,0.021745627,4.392623055
180,0.033951681,4.583323355
190,0.030354228,4.561234647
200,0.039571984,4.978586721
210,0.060030343,5.50621538
220,0.054387054,5.285879485
230,0.05075512,5.470044841
240,0.039652438,5.692136467
250,0.044399237,5.623460209
260,0.063903639,4.932555691
270,0.048548376,4.013856749
280,0.028779624,3.684931144
290,0.030894421,3.270968156
300,0.026262557,3.32103433
310,0.024297175,2.97155898
320,0.020469853,2.515316312
330,0.02079167,2.615445809
340,0.015320782,2.639757659
350,0.015493184,2.733269976
360,0.017814863,2.952244761
