wind_direction,fractional_occur,wind_speed
0,0.049670558,0
10,0.019569992,3.478346408
20,0.02158132,3.638031137
30,0.023303664,3.783306917
40,0.021084268,3.80248575
50,0.024055023,3.966237163
60,0.021928101,4.087348428
70,0.019835857,4.087071709
80,0.015131199,4.234239615
90,0.010865796,4.014305043
100,0.009443995,3.745303442
110,0.011027627,3.738077367
120,0.012322275,3.45826051
130,0.015940354,3.404507574
140,0.018055716,3.456852896
150,0.021130505,3.341071755
160,0.024829499,3.512972343
170,0.030297075,3.606996333
180,0.029256733,3.849894826
190,0.034758987,4.25053581
200,0.039220899,4.614379221
210,0.057276615,5.112150982
220,0.055958849,4.579624908
230,0.056178476,4.410880963
240,0.04910415,4.568718066
250,0.04513929,4.486926555
260,0.033394983,4.480773407
270,0.028216391,4.548856737
280,0.021985898,4.371962574
290,0.020910877,3.947483231
300,0.023361461,3.616126405
310,0.027268524,3.89202292
320,0.027326321,3.978236364
330,0.026540284,3.774531195
340,0.019546873,3.447778742
350,0.017963241,3.233979045
360,0.016518322,3.299425654
