wind_direction,fractional_occur,wind_speed
0,0.008225363,0
10,0.020869607,2.302270099
20,0.015694233,2.15539047
30,0.013100542,2.043629969
40,0.010698976,2.002925068
50,0.009246028,2.184716727
60,0.009450162,2.650661271
70,0.009966498,2.848036361
80,0.010434803,2.844537883
90,0.014229277,3.167412172
100,0.016222577,3.121696456
110,0.01880426,3.518652416
120,0.021217834,3.538221806
130,0.025312504,3.880049884
140,0.026117028,4.130216611
150,0.030403823,4.191743351
160,0.039553789,4.680909401
170,0.057721635,5.171837059
180,0.052894487,5.414216536
190,0.041655159,5.430357565
200,0.035699276,5.621334606
210,0.036924074,5.566200431
220,0.033790031,5.321405811
230,0.030908152,4.765102505
240,0.027618007,4.491990805
250,0.024676089,4.391674497
260,0.023355228,4.429243817
270,0.025756793,4.875346215
280,0.032589248,5.313141238
290,0.035483135,5.434826664
300,0.035447112,5.420308852
310,0.040922682,5.473364142
320,0.039169539,5.214304712
330,0.035783331,4.772762842
340,0.034582548,4.236482065
350,0.03119634,3.500318163
360,0.02427983,2.81799295
