wind_direction,fractional_occur,wind_speed
0,0.004494819,0
10,0.013404396,3.180598314
20,0.012500858,3.398248564
30,0.013713201,3.636720053
40,0.01155157,3.450340253
50,0.012832537,3.685014642
60,0.020461148,4.735242788
70,0.02380081,4.656694679
80,0.021902235,4.700916739
90,0.022382597,4.643139689
100,0.029210605,4.86969387
110,0.031921221,4.910166147
120,0.025539264,4.813380426
130,0.024018117,4.831854027
140,0.019546172,4.675751113
150,0.018539699,4.668714179
160,0.011528696,4.238038667
170,0.009767367,3.920376525
180,0.00873802,3.753959817
190,0.008600773,3.77486967
200,0.010156232,4.043135896
210,0.017041426,5.207623391
220,0.022817211,5.916750667
230,0.035752682,6.114412148
240,0.063247707,6.388966552
250,0.107795594,6.524132413
260,0.10891644,5.731164381
270,0.085092756,5.127499304
280,0.059484869,4.435632904
290,0.040476245,4.125582132
300,0.027426402,3.658602158
310,0.020586957,3.083805978
320,0.012237802,2.490485907
330,0.010144795,2.351826855
340,0.010179107,2.439273798
350,0.011357138,2.438039742
360,0.012832537,2.828524988
