wind_direction,fractional_occur,wind_speed
0,0.15,0
22.5,0.065,1.396153846
45,0.08,1.36875
67.5,0.09,1.438888889
90,0.09,1.481944444
112.5,0.05,1.39
135,0.05,1.635
157.5,0.035,1.414285714
180,0.035,1.235714286
202.5,0.03,1.158333333
225,0.03,1.158333333
247.5,0.03,1.158333333
270,0.05,1.26
292.5,0.06,1.5125
315,0.05,1.41
337.5,0.05,1.375
360,0.055,1.268181818
